task_id,Question,Level,Answer Type,Final answer,file_name,Answer Explanation
296,This poem is the English translation of a poem by a Chinese poet. Please analyze which Chinese poet it is?,2,exactMatch,Wang Anshi,296.png,The original author of this poem is Wang Anshi. This English version is included in Sunflower Splendor (1975) edited by Wu-chi Liu and Irving Yucheng Lo.
5,"Please finish this blank with a name. According to British Society in India under the East India Company, the inebriated British soldiers in India were described “the drinking continued as long as the money lasted.”by______

",1,exactMatch,Sergeant Pearman,,"In the words of Sergeant Pearman, “the drinking continued as long as the money lasted.”"
313,"¿Por qué el Comisario Regio decide añadir una nota final comentando el tono de las anotaciones del Sr. Rueda en el expediente de cuentas del Jardín Zoológico?
A. Porque las observaciones del Sr. Rueda contradecían directamente las conclusiones legales del informe y debían ser anuladas formalmente.
B. Porque, a pesar de que los reparos contables eran menores, el tono de animosidad en las anotaciones comprometía la imagen de imparcialidad exigida en la administración pública.
C. Porque se descubrió que el Sr. Rueda tenía conflictos personales con el Director del Museo y el Comisario quiso reflejarlo oficialmente.
D. Porque el Comisario deseaba sancionar disciplinariamente al Sr. Rueda por haber retrasado la entrega de informes durante seis años.",2,multipleChoice,B,313_1.png;313_2.png,"En su resumen, señaló:
Aunque no es legal que los productos del zoológico no se hayan entregado a las autoridades fiscales, ya se ha obtenido la autorización de las autoridades competentes, por lo que es comprensible;
el retraso de seis años en la presentación de las cuentas constituye «morosidad excesiva», por lo que se debe aplicar una «suave corrección»;
los errores contables no son graves, «muy disculpables», debido a la falta de conocimientos contables del responsable, que solo contaba con la ayuda de un administrativo.
El comisario real reconoció en su valoración global que Graells había cometido irregularidades, pero también hizo una interpretación indulgente basándose en el contexto de la autorización y las condiciones reales. En este momento, si las críticas de Rueda se hubieran mantenido en el documento sin comentarios, los lectores podrían haber interpretado erróneamente que existían divergencias más intensas o hostiles dentro del sistema administrativo.
En otras palabras, no se trata de una negación de la postura de Rueda, sino de una crítica a su «tono y forma de expresión», especialmente en documentos como los de las finanzas públicas, que pueden dar lugar a interpretaciones políticas, donde un tono excesivo puede ser interpretado por el exterior como lucha partidista o inestabilidad institucional."
320,What battle scene is depicted in this image？,2,exactMatch,The Battle of Milvian Bridge,320.jpg,The background information of this image is introduced in the attached figure at the end of the article
392,Which year did this piece be written?,3,exactMatch,870,392.png,"This piece is a 牒式补任文书, as there is red seals on it, from its impression we can find that it was made by 朔方军,so the signiture on the left is 节度使 卢潘, who occupied this position from 867 to 870,and S.6340 indicated that the 招抚使 retreated in 870, so P.3298 was written in 870."
328,"Один профессор однажды сказал в интервью: «Только очень наивный инопланетянин мог бы подумать о землянах как о единой цивилизации. На самом деле он обнаружил бы по меньшей мере девять цивилизаций, в которых есть своя структура.» В частности, он отметил: «Евразийская цивилизация (Россия, Украина, Белоруссия)... Отличается своеобразием социальной психологии народов, образом жизни в труде, быте, досуге. Здесь сложилась особая алкогольная цивилизация с вековыми питейными традициями, невиданными ни на Западе, ни на Востоке. И особая, неслыханная нигде ругань. Невиданная нигде смесь самоотверженности и скандальности, западной культуры и восточного быта. Словом, Азия, но в европейском обличье.» Какой он профессор?",2,exactMatch,И. В. Бестужев-Лада,,"Это взято из интервью «Будущее непредсказуемо, но предвидимо»."
277,"In this 1912 letter sent to Sun Zhuang by Peng Yizhong (who was engaged in the newspaper business in Beijing in the early Republican period of the late Qing Dynasty), what specifically is the Patriotic Newspaper that the author asks his friend to continue to send?(For answers, please use the language referred to in the material)",2,exactMatch,正宗爱国报,277.jpg,"Peng Yizhong was an important figure in the newspaper industry in Beijing during the late Qing Dynasty and early Republican period. At this time, he was exiled in Xinjiang, while his business partners continued to run newspapers in Beijing, of which the authentic patriotic newspaper founded by Ding Baochen, a member of the Hui ethnic group, was the main representative.Authentic Patriotic Newspaper since its inception in 1906, has been continued until after the Republic of China, the early Republic of Beijing politics have reported, at this time living in Xinjiang, the author, very much need to rely on this friend of the newspaper founded to obtain the news of the Beijing area.
"
208,"According to Graeme J. N. Gooday and Morris F. Low's paper in 1998,in the early Meiji era, how many of the foreigners employed in Japan were generally Chinese day-laborers?",1,exactMatch,4000,,"In the early years of the Meiji period there were generally around eight thousand hired foreigners in Japan, about half of whom were Chinese day-laborers, and only about three thousand professionals in government service."
332,Who is the commander of the troop shown in the photo? [Answer in Russian],2,exactMatch,Николай Кириченко,332.png,The description of the photo is: soldiers of the 4th cavalry corps under the command of lieutnant general Nikolai Kirichenko on reconnaissance.
157,Where was this cultural heritage found?,1,exactMatch,Lchashen,157.png,"According to the source, this pedestal with a flat seat and a hollow body is one of the unique objects discovered from Lchashen, Armenia."
